seriesId,seriesDescription,unit
COPRK,Factor for converting crude oil production from physical units to Btu for the United States,Million Btu per barrel
CLKCP,Coal consumed by coke plants (coking coal),Thousand short tons
MGTPV,Motor gasoline expenditures per capita,Dollars
CLACD,Coal price in the transportation sector,Dollars per million Btu
CLEID,Coal price in the electric power sector,Dollars per million Btu
AVTXV,Aviation gasoline total end-use expenditures,Million dollars
CLEIP,Coal consumed by the electric power sector,Thousand short tons
CLACB,Coal consumed by the transportation sector,Billion Btu
CLHCK,Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu,Million Btu per short ton
CLEIV,Coal expenditures in the electric power sector,Million dollars
CLPRB,Coal production,Billion Btu
COICP,Crude oil consumed by the industrial sector,Thousand barrels
CLACK,Factor for converting coal consumed by the transportation sector from physical units to Btu,Million Btu per short ton
CLCCP,Coal consumed by the commercial sector,Thousand short tons
CLEIB,Coal consumed by the electric power sector,Billion Btu
CLACP,Coal consumed by the transportation sector,Thousand short tons
BMTCB,Biomass total consumption,Billion Btu
AVACV,Aviation gasoline expenditures in the transportation sector,Million dollars
CLCCB,Coal consumed by the commercial sector,Billion Btu
CLPRP,Coal production,Thousand short tons
CLOCK,Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu,Million Btu per short ton
CLKCV,Coal expenditures at coke plants,Million dollars
AVTXD,"Aviation gasoline average price, all end-use sectors",Dollars per million Btu
CLOCB,Coal consumed by industrial users other than coke plants,Billion Btu
CLPRK,Factor for converting coal production from physical units to Btu,Million Btu per short ton
CLOCP,Coal consumed by industrial users other than coke plants,Thousand short tons
CLEIK,Factor for converting coal consumed by the electric power sector from physical units to Btu,Million Btu per short ton
CLCCV,Coal expenditures in the commercial sector,Million dollars
CLICP,Coal consumed by the industrial sector,Thousand short tons
COICB,Crude oil consumed by the industrial sector,Billion Btu
CLRFB,Coal consumed as refinery fuel,Billion Btu
CLCCD,Coal price in the commercial sector,Dollars per million Btu
CLKCK,Factor for converting coal consumed at coke plants from physical units to Btu,Million Btu per short ton
AVTCV,Aviation gasoline total expenditures,Million dollars
AVTXP,Aviation gasoline total end-use consumption,Thousand barrels
AVTCD,"Aviation gasoline average price, all sectors",Dollars per million Btu
CCEXP,Coal coke exported from the United States ,Thousand short tons
CLOCD,Coal price in the industrial sector other than coke plants,Dollars per million Btu
AVACP,Aviation gasoline consumed by the transportation sector,Thousand barrels
CLKCB,Coal consumed at coke plants (coking coal),Billion Btu
EMLCB,Energy losses and co-products from the production of fuel ethanol,Billion Btu
FSICV,"Petrochemical feedstocks, still gas, expenditures in the industrial sector (through 1985)",Million dollars
ENCCP,"Fuel ethanol, including denaturant, consumed by the commercial sector",Thousand barrels
ELNIB,Net imports of electricity into the United States,Billion Btu
ENICP,"Fuel ethanol, including denaturant, consumed by the industrial sector",Thousand barrels
DFICB,Distillate fuel oil consumed by the industrial sector,Billion Btu
DFCCV,Distillate fuel oil expenditures in the commercial sector,Million dollars
ESACV,Electricity expenditures in the transportation sector,Million dollars
ENACP,"Fuel ethanol, including denaturant, consumed by the transportation sector",Thousand barrels
ESRFB,Electricity consumed by refineries,Billion Btu
DFISB,Distillate fuel oil consumed by the industrial sector excluding refinery fuel,Billion Btu
EMTCB,"Fuel ethanol, excluding denaturant, total consumption",Billion Btu
DFICP,Distillate fuel oil consumed by the industrial sector,Thousand barrels
EMACB,"Fuel ethanol, excluding denaturant, consumed by the transportation sector   ",Billion Btu
DFRCB,Distillate fuel oil consumed by the residential sector,Billion Btu
ESACD,Electricity price in the transportation sector,Dollars per million Btu
ENPRP,"Fuel ethanol production, including denaturant",Thousand barrels
DFICD,Distillate fuel oil price in the industrial sector,Dollars per million Btu
ESACB,Electricity consumed by (sales to ultimate customers in) the transportation sector,Billion Btu
DFEIV,Distillate fuel oil expenditures in the electric power sector,Million dollars
ENTCP,"Fuel ethanol, including denaturant, total consumption",Thousand barrels
CLRCP,Coal consumed by the residential sector,Thousand short tons
CLICB,Coal consumed by the industrial sector,Billion Btu
CLOSB,Coal consumed by the industrial sector other than coke plants excluding refinery fuel,Billion Btu
AVACB,Aviation gasoline consumed by the transportation sector,Billion Btu
CCEXB,Coal coke exported from the United States ,Billion Btu
AVTCB,Aviation gasoline total consumption,Billion Btu
CCIMV,"Coal coke imports expenditures, United States",Million dollars
CCNIB,Coal coke net imports into the United States,Billion Btu
AVACD,Aviation gasoline price in the transportation sector,Dollars per million Btu
CLACV,Coal expenditures in the transportation sector,Million dollars
AVTCP,Aviation gasoline total consumption,Thousand barrels
AVTXB,Aviation gasoline total end-use consumption,Billion Btu
CLRCD,Coal price in the residential sector,Dollars per million Btu
CCEXV,"Coal coke exports expenditures, United States",Million dollars
CCNIP,Coal coke net imports into the United States,Thousand short tons
CCEXD,"Coal coke exports average price, United States",Dollars per million Btu
CCIMP,Coal coke imported into the United States,Thousand short tons
FNICD,"Petrochemical feedstocks, naphtha less than 401? F, price in the industrial sector",Dollars per million Btu
CCNIV,"Coal coke net imports expenditures, United States",Million dollars
CCIMB,Coal coke imported into the United States,Billion Btu
CCIMD,"Coal coke imports average price, United States",Dollars per million Btu
FNICV,"Petrochemical feedstocks, naphtha less than 401? F, expenditures in the industrial sector",Million dollars
DFRCV,Distillate fuel oil expenditures in the residential sector,Million dollars
ELIMD,Electricity imports average price,Dollars per million Btu
ELNIP,Net imports of electricity into the United States,Million kilowatthours
DFRFB,Distillate fuel oil consumed as refinery fuel,Billion Btu
HYCCB,Hydropower consumed by the commercial sector,Billion Btu
GECCB,Geothermal energy consumed by the commercial sector,Billion Btu
FOICD,"Petrochemical feedstocks, other oils equal to or greater than 401? F, price in the industrial sector",Dollars per million Btu
GERCB,Geothermal energy consumed by the residential sector,Billion Btu
DFTCP,Distillate fuel oil total consumption,Thousand barrels
ELIMV,Electricity imports expenditures,Million dollars
DFEID,Distillate fuel oil price in the electric power sector,Dollars per million Btu
ELISB,Net interstate flow of electricity and associated losses (negative indicates flow out of state),Billion Btu
DFRCP,Distillate fuel oil consumed by the residential sector,Thousand barrels
ESACP,Electricity consumed by (sales to ultimate customers in) the transportation sector,Million kilowatthours
DFTCB,Distillate fuel oil total consumption,Billion Btu
DFTXB,Distillate fuel oil total end-use consumption,Billion Btu
DFTCD,"Distillate fuel oil average price, all sectors",Dollars per million Btu
GEICB,Geothermal energy consumed by the industrial sector,Billion Btu
DFRCD,Distillate fuel oil price in the residential sector,Dollars per million Btu
GEEGP,Geothermal electricity net generation in the electric power sector,Million kilowatthours
KSICP,Kerosene consumed by the industrial sector,Thousand barrels
DFTCV,Distillate fuel oil total expenditures,Million dollars
GEEGB,Geothermal energy consumed for electricity generation by the electric power sector,Billion Btu
HYCCP,Hydroelectricity net generation in the commercial sector,Million kilowatthours
FNICB,"Petrochemical feedstocks, naphtha less than 401? F, consumed by the industrial sector",Billion Btu
EMACV,"Fuel ethanol, excluding denaturant, expenditures in the transportation sector (through 1992)",Million dollars
FFETK,Fossil-fueled steam-electric power plant conversion factor,Thousand Btu per kilowatthour
EMTCV,"Fuel ethanol, excluding denaturant, total expenditures (through 1992)",Million dollars
FNICP,"Petrochemical feedstocks, naphtha less than 401? F, consumed by the industrial sector",Thousand barrels
ELIMB,Electricity imported into the United States,Billion Btu
FSICP,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",Thousand barrels
DFTXV,Distillate fuel oil total end-use expenditures,Million dollars
DFTXD,"Distillate fuel oil average price, all end-use sectors",Dollars per million Btu
HYICB,Hydropower consumed by the industrial sector,Billion Btu
FOICB,"Petrochemical feedstocks, other oils equal to or greater than 401? F, consumed by the industrial sector",Billion Btu
DFTXP,Distillate fuel oil total end-use consumption,Thousand barrels
GETXB,Geothermal energy total end-use consumption,Billion Btu
ELEXD,Electricity exports average price,Dollars per million Btu
FOICP,"Petrochemical feedstocks, other oils equal to or greater than 401? F, consumed by the industrial sector",Thousand barrels
FSICD,"Petrochemical feedstocks, still gas, price in the industrial sector (through 1985) ",Dollars per million Btu
FOICV,"Petrochemical feedstocks, other oils equal to or greater than 401? F, expenditures in the industrial sector",Million dollars
GETCB,Geothermal energy total consumption,Billion Btu
ELIMP,Electricity imported into the United States,Million kilowatthours
PAICV,All petroleum products total expenditures in the industrial sector,Million dollars
EMCCB,"Fuel ethanol, excluding denaturant, consumed by the commercial sector ",Billion Btu
ELEXP,Electricity exported from the United States,Million kilowatthours
DFICV,Distillate fuel oil expenditures in the industrial sector,Million dollars
ENTCK,Fuel ethanol total consumption conversion factor for the United States,Million Btu per barrel
ELEXV,Electricity exports expenditures,Million dollars
CLOCV,Coal expenditures in the industrial sector other than coke plants,Million dollars
EMCCV,"Fuel ethanol, excluding denaturant, expenditures in the commercial sector (through 1992)",Million dollars
DFCCP,Distillate fuel oil consumed by the commercial sector,Thousand barrels
DFCCB,Distillate fuel oil consumed by the commercial sector,Billion Btu
CLTCP,Coal total consumption,Thousand short tons
CLTCD,"Coal average price, all sectors",Dollars per million Btu
CLTCB,Coal total consumption,Billion Btu
CLRCV,Coal expenditures in the residential sector,Million dollars
CLTXP,Coal total end-use consumption,Thousand barrels
CLTXV,Coal total end-use expenditures,Million dollars
CLRCB,Coal consumed by the residential sector,Billion Btu
EMICB,"Fuel ethanol, excluding denaturant, consumed by the industrial sector ",Billion Btu
EMFDB,"Fuel ethanol production (total biomass inputs as feedstock), including liquids and losses & co-products",Billion Btu
DFACB,Distillate fuel oil consumed by the transportation sector,Billion Btu
CLTXB,Coal total end-use consumption,Billion Btu
CLTCV,Coal total expenditures,Million dollars
ABICB,Aviation gasoline blending components consumed by the industrial sector,Billion Btu
TEPFB,Total energy used as process fuel and other consumption that has no direct fuel costs,Billion Btu
RFTCB,Residual fuel oil total consumption,Billion Btu
ARICB,Asphalt and road oil consumed by the industrial sector,Billion Btu
TECCD,Total energy average price in the commercial sector,Dollars per million Btu
TECCV,Total energy expenditures in the commercial sector,Million dollars
ARICD,Asphalt and road oil price in the industrial sector,Dollars per million Btu
TEEIB,Total energy consumption in the electric power sector plus net imports of electricity into the United States,Billion Btu
OPTXV,Other petroleum products total end-use expenditures,Million dollars
OPICD,Other petroleum products average price in the industrial sector,Dollars per million Btu
OPTCD,"Other petroleum products average price, all sectors",Dollars per million Btu
RFISB,Residual fuel oil consumed by the industrial sector excluding refinery fuel,Billion Btu
RFICB,Residual fuel oil consumed by the industrial sector,Billion Btu
ABICP,Aviation gasoline blending components consumed by the industrial sector,Thousand barrels
RFICP,Residual fuel oil consumed by the industrial sector,Thousand barrels
ARICP,Asphalt and road oil consumed by the industrial sector,Thousand barrels
TERCB,Total energy consumption in the residential sector,Billion Btu
OPTXB,Other petroleum products total end-use consumption,Billion Btu
CLICD,Coal price in the industrial sector,Dollars per million Btu
TEICB,Total energy consumption in the industrial sector,Billion Btu
PETXV,Primary energy total end-use expenditures,Million dollars
CLICV,Coal expenditures in the industrial sector,Million dollars
CLKCD,Coal price at coke plants,Dollars per million Btu
EMICV,"Fuel ethanol, excluding denaturant, expenditures in the industrial sector (through 1992)",Million dollars
ELEXB,Electricity exported from the United States,Billion Btu
ARTXB,Asphalt and road oil total end-use consumption,Billion Btu
ARTCV,Asphalt and road oil total expenditures,Million dollars
ARTCP,Asphalt and road oil total consumption,Thousand barrels
ARTCD,"Asphalt and road oil average price, all sectors",Dollars per million Btu
ARTXP,Asphalt and road oil total end-use consumption,Thousand barrels
ARTXV,Asphalt and road oil total end-use expenditures,Million dollars
ARTCB,Asphalt and road oil total consumption,Billion Btu
ARTXD,"Asphalt and road oil average price, all end-use sectors",Dollars per million Btu
ARICV,Asphalt and road oil expenditures in the industrial sector,Million dollars
PCMKK,"Factor for converting petroleum coke, marketable coke from physical units to Btu",Million Btu per barrel
PCCTK,"Factor for converting petroleum coke, catalyst coke from physical units to Btu",Million Btu per barrel
KSRCB,Kerosene consumed by the residential sector,Billion Btu
JFTCD,"Jet fuel average price, all sectors",Dollars per million Btu
JFTCP,Jet fuel total consumption,Thousand barrels
JFACV,Jet fuel expenditures in the transportation sector,Million dollars
DFTCK,Factor for converting distillate fuel from physical units to Btu,Million Btu per barrel
NGTPB,Natural gas total consumption (including supplemental gaseous fuels) per capita,Million Btu
ESRPP,Electricity consumed by (sales to ultimate customers in) the residential sector per capita,Kilowatthours
OPTCB,Other petroleum products total consumption,Billion Btu
MBTCK,Factor for converting motor gasoline blending components from physical units to Btu,Million Btu per barrel
CLTXD,"Coal average price, all end-use sectors",Dollars per million Btu
JFACP,Jet fuel consumed by the transportation sector,Thousand barrels
JFTXP,Jet fuel total end-use consumption,Thousand barrels
OPTCV,Other petroleum products total expenditures,Million dollars
PATPB,All petroleum products total consumption per capita,Million Btu
PATPP,All petroleum products total consumption per capita,Barrels
NGTPP,Natural gas total consumption (including supplemental gaseous fuels) per capita,Thousand cubic feet
OPICV,Other petroleum products total expenditures in the industrial sector,Million dollars
TEICD,Total energy average price in the industrial sector,Dollars per million Btu
OPICP,Other petroleum products consumed by the industrial sector,Thousand barrels
ESTPP,Electricity total consumption (electricity sales to ultimate customers) per capita,Kilowatthours
OPTXD,"Other petroleum products average price, all end-use sectors",Dollars per million Btu
OPTXP,Other petroleum products total end-use consumption,Thousand barrels
DFACP,Distillate fuel oil consumed by the transportation sector,Thousand barrels
DFACD,Distillate fuel oil price in the transportation sector,Dollars per million Btu
GDPRV,Current-dollar gross domestic product (GDP),Million dollars
JFTXD,"Jet fuel average price, all end-use sectors",Dollars per million Btu
OPTCP,Other petroleum products total consumption,Thousand barrels
TEGDS,Energy expenditures as percent of current-dollar GDP,Percent
PAPRP,Crude oil production (including lease condensate),Thousand barrels
DFCCD,Distillate fuel oil price in the commercial sector,Dollars per million Btu
RETCB,Renewable energy total consumption,Billion Btu
REPRB,Renewable energy production,Billion Btu
PARCB,All petroleum products consumed by the residential sector,Billion Btu
PAICP,All petroleum products consumed by the industrial sector,Thousand barrels
JFTCB,Jet fuel total consumption,Billion Btu
PARCD,All petroleum products average price in the residential sector,Dollars per million Btu
KSICV,Kerosene expenditures in the industrial sector,Million dollars
PCEID,Petroleum coke price in the electric power sector,Dollars per million Btu
NUEGD,Nuclear fuel price in the electric power sector,Dollars per million Btu
LUTCB,Lubricants total consumption,Billion Btu
PEISB,"Primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
P1ISB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",Billion Btu
TNASB,"Total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCEIP,Petroleum coke consumed by the electric power sector,Thousand barrels
PCCCV,Petroleum coke expenditures in the commercial sector,Million dollars
RFCCB,Residual fuel oil consumed by the commercial sector,Billion Btu
TNRSB,"Total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
NUEGV,Nuclear fuel expenditures in the electric power sector,Million dollars
PERSB,"Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCCCP,Petroleum coke consumed by the commercial sector,Thousand barrels
RFSCB,Residential fuel oil total consumption excluding process fuel,Billion Btu
NUETD,"Nuclear fuel average price, all sectors",Dollars per million Btu
PAPRB,Crude oil production (including lease condensate),Billion Btu
PCEIV,Petroleum coke expenditures in the electric power sector,Million dollars
P1SCB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products",Billion Btu
PPTCB,Natural gasoline (pentanes plus) total consumption,Billion Btu
NUEGP,Nuclear electricity net generation in the electric power sector,Million kilowatthours
NUETB,"Nuclear energy consumed for electricity generation, total",Billion Btu
NGASB,Natural gas consumed by the transportation sector adjusted for process fuel,Billion Btu
PCEIB,Petroleum coke consumed by the electric power sector,Billion Btu
NUEGB,Nuclear energy consumed for electricity generation by the electric power sector,Billion Btu
P5RFB,Other petroleum products consumed as refinery fuel and intermediate products,Billion Btu
PCICB,Petroleum coke consumed in the industrial sector,Billion Btu
HLSCB,Hydrocarbon gas liquids total consumption adjusted for processed fuel,Billion Btu
PLICB,Plant condensate consumed by the industrial sector (through 1983),Billion Btu
LUACP,Lubricants consumed by the transportation sector,Thousand barrels
LOTCB,Total electrical system energy losses,Billion Btu
LUICB,Lubricants consumed by the industrial sector,Billion Btu
LUICP,Lubricants consumed by the industrial sector,Thousand barrels
CLSCB,Coal total consumption adjusted for process fuel,Billion Btu
ESSCB,Electricity total consumption adjusted for process fuel,Billion Btu
LOACB,The transportation sector's share of electrical system energy losses,Billion Btu
CLISB,Coal consumed by the industrial sector excluding refinery fuel,Billion Btu
LOTXB,Total electrical system energy losses allocated to the end-use sectors,Billion Btu
JFTXV,Jet fuel total end-use expenditures,Million dollars
HYEGB,Hydropower consumed for electricity generation by the electric power sector,Billion Btu
HYTCP,Hydroelectricity total net generation,Million kilowatthours
HYEGP,Hydroelectricity net generation in the electric power sector,Million kilowatthours
HYTCB,Hydropower total consumption,Billion Btu
JFTCV,Jet fuel total expenditures,Million dollars
PEASB,"Primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
JFACD,Jet fuel price in the transportation sector,Dollars per million Btu
JFACB,Jet fuel consumed by the transportation sector,Billion Btu
JFTXB,Jet fuel total end-use consumption,Billion Btu
LORCB,The residential sector's share of electrical system energy losses,Billion Btu
LUACB,Lubricants consumed by the transportation sector,Billion Btu
PAISB,All petroleum products consumed by the industrial sector excluding process fuel and intermediate products,Billion Btu
PCICD,Petroleum coke price in the industrial sector,Dollars per million Btu
LOICB,The industrial sector's share of electrical system energy losses,Billion Btu
LUTCP,Lubricants total consumption,Thousand barrels
PCSCB,Petroleum coke total consumption adjusted for process fuel,Billion Btu
LUICV,Lubricants expenditures in the industrial sector,Million dollars
DFEIB,Distillate fuel oil consumed by the electric power sector,Billion Btu
LUTXB,Lubricants total end-use consumption,Billion Btu
PLICP,Plant condensate consumed by the industrial sector (through 1983),Thousand barrels
DFEIP,Distillate fuel oil consumed by the electric power sector,Thousand barrels
PCRFB,Petroleum coke consumed as refinery fuel,Billion Btu
PCTCP,Petroleum coke total consumption,Thousand barrels
ESTXV,Electricity total end-use expenditures,Million dollars
LUTXP,Lubricants total end-use consumption,Thousand barrels
TNCSB,"Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
NGMPP,Natural gas marketed production,Million cubic feet
PCISB,Petroleum coke consumed by the industrial sector excluding refinery fuel,Billion Btu
PASCB,All petroleum products total consumption adjusted for process fuel and intermediate products,Billion Btu
WWSCB,"Wood and waste energy total consumption, adjusted for fuels with no direct cost",Billion Btu
NGSCB,Natural gas total consumption adjusted for process fuel,Billion Btu
HYTXB,Hydropower energy total end-use consumption,Billion Btu
ESTXD,"Electricity average price, all end-use sectors",Dollars per million Btu
ESTCV,Electricity total expenditures,Million dollars
FFTCB,Fossil fuels total consumption,Billion Btu
HYTXP,"Hydroelectricity, total end-use net generation",Million kilowatthours
ESTCD,"Electricity average price, all sectors",Dollars per million Btu
ESTXP,Electricity total end-use consumption (electricity sales to ultimate customers),Million kilowatthours
ESTXB,Electricity total end-use consumption (electricity sales to ultimate customers),Billion Btu
LOCCB,The commercial sector's share of electrical system energy losses,Billion Btu
PAEID,All petroleum products average price in the electric power sector,Dollars per million Btu
HYICP,Hydroelectricity net generation in the industrial sector,Million kilowatthours
TNISB,"Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCTCD,"Petroleum coke average price, all sectors",Dollars per million Btu
PCICV,Petroleum coke expenditures in the industrial sector,Million dollars
KSCCP,Kerosene consumed by the commercial sector,Thousand barrels
KSICB,Kerosene consumed by the industrial sector,Billion Btu
RFACV,Residual fuel oil expenditures in the transportation sector,Million dollars
PCTCB,Petroleum coke total consumption,Billion Btu
KSTXP,Kerosene total end-use consumption,Thousand barrels
DFSCB,Distillate fuel oil total consumption adjusted for process fuel,Billion Btu
KSCCB,Kerosene consumed by the commercial sector,Billion Btu
NGTCK,Factor for converting natural gas total consumption from physical units to Btu,Thousand Btu per cubic foot
KSTXV,Kerosene total end-use expenditures,Million dollars
PCCCD,Petroleum coke price in the commercial sector,Dollars per million Btu
NGISB,Natural gas consumed by the industrial sector excluding refinery fuel,Billion Btu
NUETP,Nuclear electricity total net generation,Million kilowatthours
KSTCP,Kerosene total consumption,Thousand barrels
KSRCP,Kerosene consumed by the residential sector,Thousand barrels
KSTCB,Kerosene total consumption,Billion Btu
KSTXB,Kerosene total end-use consumption,Billion Btu
PESCB,"Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCICP,Petroleum coke consumed in the industrial sector,Thousand barrels
PCTCV,Petroleum coke total expenditures,Million dollars
PECSB,"Primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
MSICB,Miscellaneous petroleum products consumed by the industrial sector,Billion Btu
NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels),Dollars per million Btu
KSTXD,"Kerosene average price, all end-use sectors",Dollars per million Btu
PPTCP,Natural gasoline (pentanes plus) total consumption,Thousand barrels
KSTCD,"Kerosene average price, all sectors",Dollars per million Btu
KSRCV,Kerosene expenditures in the residential sector,Million dollars
MSICD,Miscellaneous petroleum products price in the industrial sector,Dollars per million Btu
MSICP,Miscellaneous petroleum products consumed by the industrial sector,Thousand barrels
NUETV,Nuclear fuel total expenditures,Million dollars
NGICB,Natural gas consumed by the industrial sector (including supplemental gaseous fuels),Billion Btu
KSTCV,Kerosene total expenditures,Million dollars
NGICP,Natural gas consumed by the industrial sector (including supplemental gaseous fuels),Million cubic feet
SGICP,Still gas consumed by the industrial sector,Thousand barrels
KSCCD,Kerosene price in the commercial sector,Dollars per million Btu
KSICD,Kerosene price in the industrial sector,Dollars per million Btu
ESCCD,Electricity price in the commercial sector,Dollars per million Btu
ESICD,Electricity price in the industrial sector,Dollars per million Btu
ESISB,Electricity sales to the industrial sector excluding refinery use,Billion Btu
ESRCV,Electricity expenditures in the residential sector,Million dollars
ESRCD,Electricity price in the residential sector,Dollars per million Btu
ESCCV,Electricity expenditures in the commercial sector,Million dollars
ESICV,Electricity expenditures in the industrial sector,Million dollars
KSRCD,Kerosene price in the residential sector,Dollars per million Btu
NGRCP,"Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)",Million cubic feet
NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels),Dollars per million Btu
NGTCB,Natural gas total consumption (including supplemental gaseous fuels),Billion Btu
WSCCB,Waste energy consumed by the commercial sector,Billion Btu
NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels),Million dollars
NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels),Dollars per million Btu
NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels),Million cubic feet
NGPZB,Natural gas for pipeline and distribution use,Billion Btu
NGRFB,Natural gas consumed as refinery fuel,Billion Btu
NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels)",Dollars per million Btu
WDEIB,Wood consumed by the electric power sector,Billion Btu
NGLPB,Natural gas consumed as lease and plant fuel,Billion Btu
NGRCB,"Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)",Billion Btu
RFTCP,Residual fuel oil total consumption,Thousand barrels
NGCCP,"Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)",Million cubic feet
NGICV,Natural gas expenditures in the industrial sector (including supplemental gaseous fuels),Million dollars
WDICB,Wood energy consumed by the industrial sector,Billion Btu
WSEIB,Waste consumed by the electric power sector,Billion Btu
NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels)",Dollars per million Btu
WSICB,Waste energy consumed by the industrial sector,Billion Btu
NGTCP,Natural gas total consumption (including supplemental gaseous fuels),Million cubic feet
NGTCV,Natural gas total expenditures (including supplemental gaseous fuels),Million dollars
USICP,Unfractionated streams consumed by the industrial sector (through 1983),Thousand barrels
NGMPK,Factor for converting marketed natural gas production from physical units to Btu,Thousand Btu per cubic feet
NGMPB,Natural gas marketed production,Billion Btu
WWIXB,Wood and waste energy consumed in the industrial sector at no cost,Billion Btu
WWISB,Wood and waste energy consumed in the industrial sector at a cost,Billion Btu
NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels),Million dollars
NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),Billion Btu
NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels),Million dollars
TERFB,Total energy used as refinery fuel and intermediate products,Billion Btu
WYEGB,Wind energy consumed for electricity generation by the electric power sector,Billion Btu
WXICD,Waxes price in the industrial sector,Dollars per million Btu
NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels),Million dollars
NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels),Billion Btu
NGTXK,Factor for converting natural gas used by end-use sectors from physical units to Btu,Thousand Btu per cubic foot
USICB,Unfractionated streams consumed by the industrial sector (through 1983),Billion Btu
UOICP,Unfinished oils consumed by the industrial sector,Thousand barrels
UOICB,Unfinished oils consumed by the industrial sector,Billion Btu
WXICV,Waxes expenditures in the industrial sector,Million dollars
ESCCP,Electricity consumed by (sales to ultimate customers in) the commercial sector,Million kilowatthours
NAICP,Natural gasoline consumed by the industrial sector (through 1983),Thousand barrels
NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),Million cubic feet
NAICB,Natural gasoline consumed by the industrial sector (through 1983),Billion Btu
MSICV,Miscellaneous petroleum products expenditures in the industrial sector,Million dollars
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",Billion Btu
NUETK,Factor for converting electricity generated from nuclear power from physical units to Btu,Thousand Btu per kilowatthour
NGACV,Natural gas expenditures in the transportation sector,Million dollars
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu,Thousand Btu per cubic foot
MBICP,Motor gasoline blending components consumed by the industrial sector,Thousand barrels
NGACD,Natural gas price in the transportation sector,Dollars per million Btu
SFEIB,Supplemental gaseous fuels consumed by the electric power sector,Billion Btu
RFTXP,Residual fuel oil total end-use consumption,Thousand barrels
RFTXB,Residual fuel oil total end-use consumption,Billion Btu
